"№","Asbob","Qisqa izoh","Link"
"1","ChatGPT","Matn yozadi va savollarga javob beradi","https://chat.openai.com"
"2","Claude","Yirik hajmli matnlar uchun muloqot va tahlil","https://claude.ai"
"3","Midjourney","So'zlardan san'at asari yaratuvchi AI","https://www.midjourney.com"
"4","DALL-E","Matndan bir zumda rasmlar yaratadi","https://openai.com/dall-e/"
"5","Stable Diffusion","Kompyuterda bepul rasm chizuvchi AI","https://stability.ai"
"6","Google Gemini","Google'ning AI yordamchisi","https://gemini.google"
"7","GitHub Copilot","Kod yozishga yordamchi","https://github.com/features/copilot"
"8","Jasper","Marketing va blog matnlarini yozadi","https://www.jasper.ai"
"9","Synthesia","AI orqali dars yoki reklama videosi tayyorlash","https://www.synthesia.io"
"10","Runway Gen-2","Matn/rasmdan video generatsiya qiladi","https://runwayml.com"
"11","Pika Labs","Promptdan qisqa, animatsion video","https://pika.art"
"12","ElevenLabs","Eng natural sun'iy ovoz generatori","https://elevenlabs.io"
"13","Fireflies","Meetings uchun avtomatik yozuv va tahlil","https://fireflies.ai"
"14","Otter.ai","Avtomatik transkript va xulosa","https://otter.ai"
"15","Notion AI","Notion'ga AI yordamchi funksiyasi","https://www.notion.so/product/ai"
"16","Tome","Promptdan chiroyli taqdimot yaratadi","https://tome.app"
"17","Canva Magic Design","Matndan dizayn va slayd generatori","https://www.canva.com/magic-design/"
"18","Grammarly AI","Grammatikani tekshiradi","https://grammarly.com"
"19","Quillbot","Matnni qayta yozadi (paraphrase)","https://quillbot.com"
"20","DeepL","Juda aniq tarjima AI","https://deepl.com"
"21","Perplexity","Real vaqtli javoblar, manbali","https://www.perplexity.ai"
"22","Replit Ghostwriter","Kod yozishda sun'iy yordam","https://replit.com/site/ghostwriter"
"23","Figma AI","Dizaynda avtomatlashtirish","https://www.figma.com"
"24","Framer AI","Web-saytlarni avtomatik loyihalovchi","https://www.framer.com"
"25","Adobe Firefly","AI yordamida rasm, video yaratish","https://firefly.adobe.com"
"26","Microsoft Designer","Banner, post va dizayn generatsiyasi","https://designer.microsoft.com"
"27","DreamStudio","Stable Diffusion asosida generatsiya","https://dreamstudio.ai"
"28","Leonardo AI","Maxsus san'at uchun AI","https://leonardo.ai"
"29","Upscale Media","Tasvirlarni tiniqlashtiradi, 8x gacha","https://www.upscale.media"
"30","Remove.bg","Rasm fonini avtomatik o'chiradi","https://remove.bg"
"31","Magic Eraser","Suratdagi keraksiz elementni o'chirish","https://magic-eraser.ai"
"32","Browse AI","Vebdan avtomat ma'lumot yig'adi","https://browse.ai"
"33","Vidyo.ai","Uzun videoni qisqa kliplarga ajratadi","https://vidyo.ai"
"34","OpusClip","Bir uzun videodan bir nechta short","https://www.opus.pro"
"35","Suno AI","Matndan musiqa/g'azallar hosil qiladi","https://suno.ai"
"36","Udio","AI orqali vokalli musiqa yaratadi","https://www.udio.com"
"37","Soundraw","Avtomatik royaltifree musiqa generatori","https://soundraw.io"
"38","Murf AI","Sun'iy intellektli professional voiceover","https://murf.ai"
"39","Speechelo","Soddalashtirilgan matn-to-speech","https://speechelo.com"
"40","ChatPDF","PDF'ni tahlil qilib, chat shaklida savollarga javob beradi","https://www.chatpdf.com"
"41","SciSpace","Ilmiy maqolalar uchun AI tahlil","https://scispace.com"
"42","Elicit","AI yordamida tezkor adabiyot tahlili","https://elicit.org"
"43","Photoroom","Rasm fonini, logoni, shablonlarni tez tayyorlaydi","https://www.photoroom.com"
"44","Voice.ai","Ovoz klonlash va tovushli kontent generatsiyasi","https://voice.ai"
"45","Beautiful.ai","AI orqali tezkor taqdimot (presentation)","https://www.beautiful.ai"
"46","Gamma","AI-pleyta yangi taqdimot ve hujjat shakli","https://gamma.app"
"47","Guru","AI yordamida bilim bazasi va tezkor qidiruv","https://www.getguru.com"
"48","Voiceflow","Kodsiz chat-bot va support AI agentlar","https://www.voiceflow.com"
"49","n8n + AI","Vizual avtomatlashtirish va RAG + AI integratsiyasi","https://n8n.io"
"50","NotebookLM","Foydalanuvchi ma'lumotidan sun'iy izlanish","https://notebooklm.google"
